objID,ra,dec,type,u_mag,g_mag,r_mag,i_mag,z_mag,specObjID,clean
1237645941296464469,60.7909816209188,-1.11157747003748,3,25.88858,21.27526,20.10726,19.54353,19.21258,0,1
1237645941296464470,60.7922884199588,-1.18228197512094,3,22.88516,21.85195,20.89187,20.40228,19.89414,0,1
1237645941296464476,60.7953304715066,-1.09249708342973,3,26.39599,22.16645,20.64233,20.06779,19.60976,0,1
1237645941296464489,60.647541293478,-1.1793926465844,3,23.94612,23.2709,21.58317,21.07077,20.77503,0,1
1237645941296464493,60.6490972139325,-1.0532105623138,3,24.88101,23.65181,21.59253,20.80775,20.3157,0,1
1237645941296464498,60.6533877429546,-1.21714629094076,3,23.63695,23.24263,22.44477,22.35158,21.70291,0,1
1237645941296464501,60.6549821242343,-1.16719702653194,3,25.91419,23.70616,22.0472,21.57745,21.15947,0,1
1237645941296464503,60.6599763112895,-1.12037262537242,3,25.53017,23.52454,21.33832,20.79801,20.28175,0,1
1237645941296464504,60.6604412485257,-1.15669956481396,3,24.82683,24.4063,21.80705,21.01091,20.33117,0,1
1237645941296464507,60.666738219154,-1.11496192585801,3,25.62844,22.93906,21.34476,21.27263,20.23677,0,1
1237645941296464509,60.6678496187554,-1.17690391321418,3,24.18623,22.81836,21.62255,21.29224,20.75003,0,1
1237645941296464510,60.6695268689423,-1.11078771622549,3,23.97881,23.6561,22.02392,21.2669,20.51471,0,1
1237645941296464511,60.6704971126817,-1.14610158811658,3,24.22764,22.69577,21.534,21.42542,21.20512,0,1
1237645941296464514,60.6759053588396,-1.15007855485299,3,24.59459,23.48399,21.74693,21.24283,20.78343,0,1
1237645941296464515,60.6759074521323,-1.10690316070642,3,24.57951,23.75365,22.47861,21.72809,21.19203,0,1
1237645941296464517,60.6788541948561,-1.08105506883198,3,23.45725,23.89981,21.57003,21.03736,20.24316,0,1
1237645941296464520,60.6805121701715,-1.22742806380409,3,24.01907,23.08768,21.80348,20.9175,20.32484,0,1
1237645941296464521,60.6815288913278,-1.23517419982489,3,24.57414,23.78593,21.91283,20.95514,20.1964,0,1
1237645941296464523,60.6827167559634,-1.22777605614488,3,25.20819,23.02264,21.71378,20.73492,20.28157,0,1
1237645941296464524,60.6835254840611,-1.0614289223719,3,23.00731,23.25084,20.9805,20.21769,19.91384,0,1
1237645941296464528,60.6903197860032,-1.09995669013181,3,24.57742,23.2121,21.67196,21.35514,20.99112,0,1
1237645941296464529,60.6907387839476,-1.1809444512438,3,23.91487,23.01708,21.98789,21.55028,21.00862,0,1
1237645941296464530,60.6912752843317,-1.12288727575175,3,24.9429,25.32215,22.2025,20.94141,19.90631,0,1
1237645941296464531,60.6928980282235,-1.17996826739858,3,24.79326,23.56517,22.38592,22.02924,22.63894,0,1
1237645941296464532,60.6931064707649,-1.09287266757663,3,22.78574,23.01652,21.48985,20.3507,19.76401,0,1
1237645941296464533,60.6938270984504,-1.08735515108606,3,23.64833,22.88465,21.30356,20.85063,20.11395,0,1
1237645941296464535,60.6964074871921,-1.15729353830643,3,22.35782,22.29025,21.03703,21.32745,20.10677,0,1
1237645941296464536,60.7031217482139,-1.2232968879709,3,24.6356,23.91444,21.75848,20.70485,20.05464,0,1
1237645941296464538,60.7050965739951,-1.17187918809572,3,25.3182,23.90557,22.3098,21.83891,21.78395,0,1
1237645941296464540,60.709179816641,-1.22120217459417,3,23.17918,23.41325,22.07995,21.54083,21.58844,0,1
1237645941296464543,60.7141715233095,-1.08198938572948,3,23.39705,23.00562,21.19441,20.86889,20.03366,0,1
1237645941296464548,60.7200343349172,-1.13046587595008,3,26.76372,23.22068,22.02376,20.61079,20.07921,0,1
1237645941296464549,60.7216473547796,-1.06804975178199,3,23.31132,22.72045,21.23837,20.31457,19.89853,0,1
1237645941296464550,60.7231690855838,-1.11835284129009,3,23.12226,23.90248,21.72588,21.2061,20.65102,0,1
1237645941296464552,60.7256695575115,-1.23678604632398,3,26.68491,23.09755,21.03768,20.75989,20.57483,0,1
1237645941296464556,60.7275082080459,-1.24266637350596,3,24.01112,23.48017,22.24605,22.07817,21.9347,0,1
1237645941296464560,60.734643497507,-1.14762377057471,3,23.44352,22.8793,21.75227,21.06331,20.69171,0,1
1237645941296464564,60.737994644987,-1.05985151529731,3,24.1928,23.71602,22.23246,21.99518,21.63064,0,1
1237645941296464567,60.7412119791849,-1.13563198581645,3,26.09196,23.25229,22.00121,20.84877,19.90279,0,1
1237645941296464568,60.7414511854522,-1.10376235765861,3,24.59155,23.03292,22.06779,21.63206,20.69168,0,1
1237645941296464570,60.7460750113536,-1.1553549884663,3,23.10728,22.97721,21.1817,20.11643,19.56345,0,1
1237645941296464574,60.7488391297358,-1.13907359737269,3,22.60676,22.6984,21.56008,20.70409,20.13303,0,1
1237645941296464575,60.7495342978978,-1.13380088867562,3,24.6297,24.90552,22.18473,21.57454,20.37673,0,1
1237645941296464577,60.75011314048,-1.12489281511658,3,23.98276,22.93857,21.43087,20.9513,21.64533,0,1
1237645941296464579,60.750316268701,-1.23994386613781,3,23.42021,23.31202,22.50498,23.54145,21.2801,0,1
1237645941296464581,60.751886724464,-1.19466453644962,3,25.25258,23.6079,22.67551,21.72061,21.058,0,1
1237645941296464586,60.7599311003347,-1.11564974453378,3,25.2256,23.13557,21.36282,20.47563,20.0974,0,1
1237645941296464587,60.7592215293149,-1.11590534749961,3,23.61889,24.04025,21.18746,20.52208,20.11426,0,1
1237645941296464590,60.7603151693948,-1.1357755576434,3,23.81851,23.09663,22.12798,21.80032,21.8316,0,1
1237645941296464591,60.7608918959952,-1.21195580109489,3,20.1757,21.46358,19.58866,19.82235,23.72729,0,1
1237645941296464592,60.7618438565463,-1.23973501371767,3,23.15666,25.36921,23.01218,21.70037,21.85962,0,1
1237645941296464596,60.7639498020302,-1.11355911715218,3,23.43504,23.73835,21.74391,21.12956,20.79198,0,1
1237645941296464597,60.7640551877967,-1.05970470290063,3,23.74947,23.89375,22.38927,21.52317,20.75268,0,1
1237645941296464599,60.7661482816203,-1.16109423940365,3,22.86181,25.39811,22.15187,21.76244,20.74987,0,1
1237645941296464603,60.7694394549693,-1.20097076893422,3,24.19006,23.42811,22.3927,21.88809,21.08101,0,1
1237645941296464605,60.7703370222144,-1.08798302426093,3,24.07258,23.46421,21.80643,21.10081,20.25795,0,1
1237645941296464606,60.7713191306979,-1.10250330688605,3,23.39112,22.95107,21.59553,21.0024,20.57069,0,1
1237645941296464609,60.7726434836815,-1.1866013819208,3,24.19123,23.69492,22.11404,22.01047,22.22278,0,1
1237645879573872924,40.9561793981189,1.27208570582259,3,22.0008,20.58432,20.03001,19.5913,19.3223,0,1
1237645879573873023,40.9941745133381,1.27033116011793,3,26.2841,21.87957,20.23639,19.52387,19.11807,0,1
1237645879573873176,41.050261576251,1.27072301826012,3,22.41677,22.21323,20.93816,20.6802,20.40248,0,1
1237645879577674280,49.6874832072742,1.27134706898514,3,26.21444,23.26064,22.03444,21.96423,20.72275,0,1
1237645879577674338,49.750897582807,1.27204557121629,3,27.63139,24.80155,20.46799,19.93784,19.18096,0,1
1237645879577739583,49.8061855132017,1.27119699026216,3,23.15277,20.79586,19.82614,19.35556,18.9693,0,1
1237645879577739681,49.8737599538969,1.27121021183372,3,23.00731,21.34087,19.74872,19.14171,18.80783,910974839957776384,1
1237645879577739719,49.9018305691598,1.27229861753839,3,23.70869,22.35356,21.60395,21.24367,20.26883,0,1
1237645879577805088,50.0096637132394,1.27316441806735,3,24.77132,22.53194,22.10083,22.15501,21.20421,0,1
1237645879577805184,50.0752406221486,1.27288305455848,3,19.9788,20.02228,19.3831,18.62091,18.96225,0,1
1237645879577805290,50.055860154837,1.27185640814629,3,25.21374,23.48272,21.43592,20.86396,20.53491,0,1
1237645941286568473,38.1343641252596,-1.04798915922455,3,20.69535,22.91455,20.61845,20.53177,21.99512,0,1
1237645941296398363,60.526909544194,-1.23414374671656,3,24.56543,21.85363,20.98112,20.49769,20.15931,0,1
1237645941296398369,60.5488829338603,-1.11400991358055,3,18.36184,17.13235,16.55641,16.24468,16.02234,0,1
1237645941296398377,60.5617723963813,-1.18200235643534,3,21.56609,20.19933,19.20037,18.66428,18.2754,0,1
1237645941296398388,60.5818234586426,-1.15287693770225,3,24.63467,21.48372,21.94097,20.51367,22.18012,0,1
1237645941296398389,60.5827350987892,-1.15833891499103,3,24.63471,22.01913,21.35591,21.05543,22.76275,0,1
1237645941296398434,60.5689143683246,-1.12434751290624,3,24.98104,23.47662,21.525,20.76966,20.43793,0,1
1237645941296398448,60.5996549937031,-1.23836064090585,3,22.42446,21.01077,19.41124,18.78846,18.32762,0,1
1237645941296398491,60.5937592464776,-1.23811133074494,3,23.54457,20.40669,18.81429,18.18348,17.75403,0,1
1237645941296398501,60.6441057643301,-1.22799547707446,3,20.71662,19.23347,18.1001,17.54886,17.08897,0,1
1237645941296398511,60.5613830635825,-1.22469023063502,3,22.12358,20.42506,19.37239,18.79083,18.53382,0,1
1237645941296398512,60.5626127518242,-1.22614103098136,3,24.82551,20.65637,19.2272,18.5503,18.12639,0,1
1237645941296398514,60.582021290657,-1.18621503050142,3,21.04329,19.6498,18.82502,18.31597,17.97541,0,1
1237645941296398536,60.528294024461,-1.1043921944426,3,21.28632,20.40086,19.99359,19.94541,19.61007,0,1
1237645941296398563,60.6199677407956,-1.08272457790568,3,22.36717,21.78328,21.45366,21.05249,20.63952,0,1
1237645941296398590,60.5027295254556,-1.11102849928419,3,24.82011,23.95176,21.66726,20.52956,20.09591,0,1
1237645941296398591,60.5049476134198,-1.15164808841924,3,22.58562,21.50136,20.69272,20.35837,19.9667,0,1
1237645941296398593,60.5071317553316,-1.1162245432297,3,21.67688,20.49049,19.18644,18.55569,18.10466,0,1
1237645941296398595,60.5114289374676,-1.2213598078641,3,23.0213,22.01984,20.86343,20.32152,19.82183,0,1
1237645941296398596,60.5145678505388,-1.19963974069257,3,24.86592,22.38652,22.03508,21.35227,21.01416,0,1
1237645941296398597,60.5179830448034,-1.21547868433557,3,23.18479,21.87718,20.50937,19.87275,19.42707,0,1
